Reporting Year,Project Title,Country ,Region,Public/Private,Technology Focus,Specific Technology,CTF funding (USD millions),MDB,Lifetime,"Expected GHG reductions (lifetime, tCO2)","Expected GHG reductions (annual, tCO2/ yr.)","Expected Co-financing (total, US$m)","Expected Co-financing (MDB, US$m)","Expected Co-financing (govt., US$m)","Expected Co-financing (pvt., US$m)","Expected Co-financing (bilateral, US$m)","Expected Co-financing (others, US$m)","Expected Installed capacity (total, MW)","Expected Installed capacity (wind, MW)","Expected Installed capacity (solar, MW)","Expected Installed capacity (hydro, MW)","Expected Installed capacity (geothermal, MW)","Expected Installed capacity (mixed, MW)","Expected Additional passengers (upon implementation, passengers per day)","Expected Energy savings (annual, GWh/ yr.)","Actual Latest Year GHG reductions (annual, tCO2/ yr.)","Actual Latest Year Co-financing (total, US$m)","Actual Latest Year Co-financing (MDB, US$m)","Actual Latest Year Co-financing (govt., US$m)","Actual Latest Year Co-financing (pvt., US$m)","Actual Latest Year Co-financing (bilateral, US$m)","Actual Latest Year Co-financing (others, US$m)","Actual Latest Year Installed capacity (total, MW)","Actual Latest Year Installed capacity (wind, MW)","Actual Latest Year Installed capacity (solar, MW)","Actual Latest Year Installed capacity (hydro, MW)","Actual Latest Year Installed capacity (geothermal, MW)","Actual Latest Year Installed capacity (mixed, MW)","Actual Latest Year Additional passengers (upon implementation, passengers per day)","Actual Latest Year Energy savings (annual, GWh/ yr.)","Cumulative GHG reductions (annual, tCO2/ yr.)","Cumulative Co-financing (total, US$m)","Cumulative Co-financing (MDB, US$m)","Cumulative Co-financing (govt., US$m)","Cumulative Co-financing (pvt., US$m)","Cumulative Co-financing (bilateral, US$m)","Cumulative Co-financing (others, US$m)","Cumulative Installed capacity (total, MW)","Cumulative Installed capacity (wind, MW)","Cumulative Installed capacity (solar, MW)","Cumulative Installed capacity (hydro, MW)","Cumulative Installed capacity (geothermal, MW)","Cumulative Installed capacity (mixed, MW)","Cumulative Additional passengers (upon implementation, passengers per day)","Cumulative Energy savings (annual, GWh/ yr.)",Fund
2019,Concentrated Solar Power Project,Chile,LAC,Private,Renewable Energy,RE-Solar,67.00,IDB,30,3879000,129300,359,66,20,130,143,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTF
2019,Large-Scale Photo-Voltaic Program,Chile,LAC,Private,Renewable Energy,RE-Solar,25.00,IDB,20,3700000,185000,335,0,0,0,0,0,154.7,0,154.7,0,0,0,0,0,63596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540852,185,50.3,0,90.8,43.9,0,72,0,72,0,0,0,0,0,CTF
2019,Energy Efficiency and Self-Supply Renewable Energy Program (PEEERA),Chile,LAC,Private,Renewable Energy / Energy Efficiency,Renewable Energy/Energy Efficiency,25.28,IDB,0,1600000,92000,110,22,0,88,0,0,36,0,0,0,0,36,0,87,4013,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8,11902,14.887,4.5,0,5.887,4.5,0,0,0,0,0,0,0,0,28.24,CTF
2019,Geothermal Risk Mitigation Program (MiRiG) – Amendment and additional resources,Chile,LAC,Private,Renewable Energy,RE-Geothermal,74.98,IDB,30,8700000,290000,500,140,0,220,0,140,100,0,0,0,100,0,0,0,71190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121664,0,0,0,353,0,0,48,0,0,0,48,0,0,0,CTF
2019,Non-Conventional Renewable Energy,Colombia,LAC,Private,Renewable Energy,RE-Mixed,10.00,IDB,25,380000,19000,34,10,0,24,0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTF
2019,Sustainable Energy Finance Program,Colombia,LAC,Private,Energy Efficiency,EE-End USe,6.74,IFC,7,3100000,440000,102.6,48,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,CTF
2019,Innovative Instruments to Foster Energy Efficiency in SMEs in Colombia,Colombia,LAC,Private,Energy Efficiency,EE-End USe,4.52,IDB,8,850000,0,37.75,21.5,0,15,1.25,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTF
2019,Renewable Energy Mini-grids and Distributed Power Generation,DPSP-Regional,ASIA,Private,Renewable Energy,RE-Mixed,34.32,ADB,20,1420000,71000,60,20,0,40,0,0,30,0,0,0,0,30,0,0,4670.51,0.6,0,0,0.6,0,0,1.971,0,1.971,0,0,0,0,0,7430,12.94,0,0,12.938,0,0,7.27,0,7.27,0,0,0,0,0,CTF
2019,SEMed Private Renewable Energy Framework (SPREF),DPSP-Regional,ECA,Private,Renewable Energy,RE-Mixed,35.00,EBRD,20,13500000,675000,885,250,0,3,617,0,432,0,0,0,0,432,0,0,163157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163157,69.64011044,76.14011044,0,0,0,0,120,120,0,0,0,0,0,0,CTF
2019,DPSP III: Solar Distributed Generation (SDG),DPSP III,Global,Private,Renewable Energy,RE-Solar,35.00,IFC,10,1740000,87000,135,35,0,100,0,0,140,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTF
2019,Utility Scale Solar Photovoltaic Sub-Program,DPSP-Regional,AFR,Private,Renewable Energy,RE-Solar,35.00,IFC,20,1400000,70000,140,35,0,55,0,50,90,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTF
2019,Energy Efficiency and Self-Supply Renewable Energy Program,DPSP-Regional,LAC,Private,Renewable Energy / Energy Efficiency,Renewable Energy/Energy Efficiency,20.00,IDB,20,1600000,80000,100.4,50,0,50,0,0,35,0,0,0,0,35,0,43,4940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13136,13.186,3.905,0,0.933,6.5,1.848,0,0,0,0,0,0,0,16.63,CTF
2019,Utility-Scale Solar PV Sub-Program,Honduras,LAC,Private,Renewable Energy,RE-Solar,20.00,IFC,20,1400000,70000,160,25,0,60,0,95,80,0,80,0,0,0,0,0,81477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255877,189.4,45.7,0,63,0,81,82,0,82,0,0,0,0,0,CTF
2019,Private Sector Geothermal Energy Program,Indonesia,ASIA,Private,Renewable Energy,RE-Geothermal,150.00,ADB,20,88000000,4400000,2450,350,400,1100,600,0,750,0,0,0,750,0,0,0,531811.15,378.3,65.9,0,94.6,163.6,54.2,0,0,0,0,0,0,0,0,531811.15,1509.1,292.3,0,447.8,713.1,75.9,214.2,0,0,0,214.2,0,0,0,CTF
2019,Renewable Energy Finance Facility (KAZREFF),Kazakhstan,ECA,Private,Renewable Energy,RE-Mixed,39.13,EBRD,0,4050000,270000,0,0,0,0,0,0,65,0,0,0,0,65,0,0,113503,115.2757,56.74,0,42.84,0,15.7,0,0,0,0,0,0,0,0,386734.15,338.28,186.64,0,112.94,0,39.7,100,0,100,0,0,0,0,78,CTF
2019,District Heating Modernisation Framework (DHMFF),Kazakhstan,ECA,Private,Energy Efficiency,EE-District Heating,34.00,EBRD,10,5000000,400000,100,100,0,0,0,0,0,0,0,0,0,0,0,1200,151505,0,0,0,0,0,0,0,0,0,0,0,0,0,319,666790,118,73,18,39,0,0,0,0,0,0,0,0,0,1336.8,CTF
2019,Concessional Finance Program for Geothermal Generation (Quantum Power),Kenya,ECA,Private,Renewable Energy,RE-Geothermal,30.00,AfDB,20,2377500,95100,0,0,0,0,0,0,35,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTF
2019,Renewable Energy Program,Mexico,LAC,Private,Renewable Energy,RE-Mixed,53.38,IDB,20,4500000,900000,650,70,0,0,0,580,350,0,0,0,0,350,0,0,394963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3990774.54,574.5,81,45,326.5,112,10,250.5,250.5,0,0,0,0,0,0,CTF
2019,"Energy Efficiency Program, Part 1",Mexico,LAC,Private,Energy Efficiency,EE-Other,22.40,IDB,15,3607000,327700,63,24,0,39,0,0,0,0,0,0,0,0,0,1120.3,14111,0,10.569,0,2.766,0,0,0,0,0,0,0,0,0,35,28384,18,20.82,0,5.56,0,0,0,0,0,0,0,0,0,63.76,CTF
2019,Private Sector Wind Development,Mexico,LAC,Private,Renewable Energy,RE-Wind,15.60,IFC,20,900000,180000,172,60,0,0,0,60,68,68,0,0,0,0,0,0,74532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726568.93,180,0,0,0,0,0,68,0,0,0,0,0,0,0,CTF
2019,Line of Credit for Renewable Energy and Energy Efficiency Projects,Nigeria,AFR,Private,Renewable Energy / Energy Efficiency,Renewable Energy/Energy Efficiency,1.25,AFDB,33,4940040,158580,271,75,0,196,0,0,107,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.75,1.25,0,47.5,0,0,0,0,0,0,0,0,0,0,CTF
2019,REAP and Expansion of the Approved Philippines Renewable Energy Accelerator Program (REAP),Philippines,ASIA,Private,Renewable Energy,RE-Mixed,26.10,IFC,15,4600000,230000,330,105,0,265,75,0,155,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,CTF
